Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,HasMortgage,HasDependents,HasCoSigner,Default,EmploymentType_Part-time,EmploymentType_Self-employed,EmploymentType_Unemployed,MaritalStatus_Married,MaritalStatus_Single,LoanPurpose_Business,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other
55,112656,92393,581,113,2,23.54,36,0.15,3,1,1,0,0,False,True,False,False,True,False,False,True,False
56,91569,131575,641,54,1,15.19,12,0.43,0,1,1,1,0,True,False,False,False,False,False,True,False,False
26,78169,75417,569,105,3,18.02,12,0.29,2,1,1,1,0,True,False,False,True,False,False,True,False,False
26,63033,10804,326,118,1,14.71,24,0.41,0,0,0,1,0,True,False,False,False,True,True,False,False,False
24,29665,21182,662,102,3,15.02,60,0.69,3,0,1,1,0,False,False,True,False,True,True,False,False,False
41,98511,187008,731,20,4,14.88,36,0.46,2,1,0,0,0,False,False,False,False,False,False,False,False,True
66,49411,159105,371,86,4,13.35,60,0.12,1,0,0,1,0,False,True,False,True,False,True,False,False,False
34,117617,173967,518,86,4,2.21,12,0.39,0,0,1,1,0,True,False,False,False,True,True,False,False,False
67,94473,41189,542,15,2,10.17,36,0.33,2,0,1,0,0,False,True,False,False,True,False,False,True,False
41,95332,151275,363,39,3,12.88,36,0.66,0,1,1,1,0,False,True,False,False,True,False,False,True,False
37,90591,178121,755,57,3,21.02,12,0.49,2,1,0,1,0,False,True,False,True,False,False,False,False,False
48,131410,109990,467,55,4,24.69,12,0.89,1,0,0,0,0,False,True,False,False,True,False,False,False,True
23,52502,166291,305,69,3,13.06,60,0.77,2,0,1,1,0,False,False,True,False,True,False,False,False,True
21,86823,124620,477,89,3,5.13,12,0.23,1,1,1,0,0,True,False,False,False,True,True,False,False,False
19,127782,222878,813,50,1,6.87,24,0.21,0,0,0,1,0,False,False,True,False,True,False,True,False,False
53,72669,112337,634,84,2,11.85,24,0.68,3,0,1,0,0,False,False,False,True,False,False,False,False,True
56,133028,155502,467,89,1,12.27,60,0.12,3,0,1,0,0,False,False,False,False,True,False,True,False,False
27,143167,185872,582,6,4,18.21,60,0.15,3,0,1,1,0,False,True,False,True,False,False,False,True,False
61,33989,116838,820,117,3,4.38,24,0.3,3,1,1,1,0,True,False,False,False,True,False,False,False,True
49,146315,134959,763,77,1,21.6,36,0.53,0,0,0,0,1,False,False,True,True,False,False,False,False,True
42,101292,194017,574,7,3,15.25,48,0.49,1,0,0,0,0,False,True,False,False,False,False,True,False,False
42,146855,169392,348,5,2,19.07,48,0.47,1,0,0,1,0,False,False,False,False,True,False,False,False,True
22,91391,249316,810,88,4,20.1,24,0.1,0,0,0,0,1,False,True,False,False,False,True,False,False,False
46,93632,189310,705,57,1,9.59,60,0.84,0,0,0,1,0,False,False,False,False,True,False,False,False,True
52,92773,132178,356,63,4,21.33,12,0.72,1,1,0,1,0,False,True,False,False,True,False,False,False,True
23,41677,6855,845,58,4,18.95,48,0.16,0,0,0,0,0,False,True,False,True,False,False,False,True,False
64,96991,245069,301,1,3,2.4,36,0.27,1,0,0,0,0,False,False,True,False,True,True,False,False,False
36,43702,105519,383,93,2,15.45,60,0.17,2,1,0,1,0,False,False,True,True,False,False,False,False,True
19,138815,147622,471,8,2,7.2,24,0.71,3,0,1,0,0,False,False,False,True,False,False,True,False,False
59,130006,241986,505,107,1,21.83,36,0.46,3,0,1,1,0,False,False,True,False,False,False,False,True,False
38,64603,146536,568,61,4,15.74,36,0.57,0,1,0,1,0,False,False,False,False,True,False,False,False,False
43,117901,12250,574,49,4,2.63,24,0.41,0,1,1,1,0,False,False,True,False,False,False,False,False,False
25,96657,45630,466,14,1,21.13,36,0.7,2,1,1,1,0,False,True,False,True,False,True,False,False,False
62,61310,247576,350,110,4,9.85,60,0.24,3,0,1,0,0,False,False,False,False,False,True,False,False,False
40,138821,185263,762,61,4,11.57,48,0.42,0,1,0,0,0,True,False,False,False,True,False,False,False,True
41,43171,88784,370,101,2,8.46,60,0.32,0,0,0,0,0,False,True,False,True,False,False,False,False,True
30,98485,175528,592,114,1,6.59,36,0.33,1,0,0,0,0,True,False,False,True,False,False,False,False,False
33,53407,167934,492,11,2,2.58,60,0.54,2,1,0,0,0,False,True,False,True,False,False,False,False,False
50,33717,67810,522,67,3,13.96,60,0.24,0,1,1,0,0,False,False,False,False,False,False,False,False,True
67,45858,203775,606,95,2,15.03,48,0.49,1,0,1,0,0,False,False,False,False,True,True,False,False,False
37,67353,51144,502,36,3,19.36,60,0.2,3,0,1,1,0,True,False,False,False,True,False,False,False,False
