feature,importance
Age,0.1219907313991433
Education,0.1000780519321955
InterestRate,0.09674908269624108
NumCreditLines,0.09298879558342156
LoanTerm,0.07947135127350062
MonthsEmployed,0.07452160079107431
LoanAmount,0.07164750383628658
Income,0.06910235317319803
CreditScore,0.05760114449143907
DTIRatio,0.05562098841981516
HasCoSigner,0.03010217386002523
HasDependents,0.02915601734043263
HasMortgage,0.024284809786054493
MaritalStatus_Married,0.01544878295788506
MaritalStatus_Single,0.013781123310652586
